# julia> run_col_softmax(; M_range=2 .^ (8:13), N_range=(2^16,2^17), reps=200)
         M          N      naive      fused      nnlib
       256      65536   0.001491   0.001329   0.000225
       512      65536   0.003097   0.001456   0.000405
      1024      65536   0.004624   0.001843   0.000789
      2048      65536   0.007390   0.002893   0.002418
      4096      65536   0.013122   0.004958   0.006674
      8192      65536   0.026448   0.008687   0.013952
       256     131072   0.011195   0.002552   0.000411
       512     131072   0.023322   0.002800   0.000754
      1024     131072   0.044907   0.003602   0.001662
      2048     131072   0.090770   0.005609   0.004767
      4096     131072   0.176741   0.009624   0.013177
      8192     131072   0.377765   0.016920   0.027901
