Architecture:        x86_64
CPU op-mode(s):      32-bit, 64-bit
Byte Order:          Little Endian
CPU(s):              48
On-line CPU(s) list: 0-47
Thread(s) per core:  1
Core(s) per socket:  24
Socket(s):           2
NUMA node(s):        2
Vendor ID:           GenuineIntel
CPU family:          6
Model:               85
Model name:          Intel(R) Xeon(R) Platinum 8268 CPU @ 2.90GHz
Stepping:            7
CPU MHz:             3900.000
CPU max MHz:         3900.0000
CPU min MHz:         1200.0000
BogoMIPS:            5800.00
Virtualization:      VT-x
L1d cache:           32K
L1i cache:           32K
L2 cache:            1024K
L3 cache:            36608K
NUMA node0 CPU(s):   0-23
NUMA node1 CPU(s):   24-47
Flags:               fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush dts acpi mmx fxsr sse sse2 ss ht tm pbe syscall nx pdpe1gb rdtscp lm constant_tsc art arch_perfmon pebs bts rep_good nopl xtopology nonstop_tsc cpuid aperfmperf pni pclmulqdq dtes64 ds_cpl vmx smx est tm2 ssse3 sdbg fma cx16 xtpr pdcm pcid dca sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand lahf_lm abm 3dnowprefetch cpuid_fault epb cat_l3 cdp_l3 invpcid_single intel_ppin ssbd mba ibrs ibpb stibp ibrs_enhanced tpr_shadow vnmi flexpriority ept vpid ept_ad fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid cqm mpx rdt_a avx512f avx512dq rdseed adx smap clflushopt clwb intel_pt avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves cqm_llc cqm_occup_llc cqm_mbm_total cqm_mbm_local dtherm ida arat pln pts pku ospke avx512_vnni md_clear flush_l1d arch_capabilities
make: Nothing to be done for 'all'.
48N,d,cache,Naive,FA,pFA,NaiveFlop,FAFlop,pFAFlop,Pass
1024,64,4000,0.019751,0.045566,0.002016,14.174831,6.144230,138.902108,Forward
1024,64,4000,0.015156,0.073407,0.004100,18.472181,3.813933,68.288676,Backward
2048,64,4000,0.095280,0.182933,0.005334,11.753512,6.121799,209.935312,Forward
2048,64,4000,0.077858,0.283193,0.011582,14.383687,3.954468,96.688816,Backward
8192,64,4000,1.935690,2.923098,0.077894,-5.554010,-3.677893,-138.018473,Forward
8192,64,4000,1.233730,4.577599,0.155740,14.523495,3.914293,115.051225,Backward
16384,64,4000,8.886993,11.740150,0.325014,-1.612970,-1.220977,-44.104124,Forward
16384,64,4000,5.370359,21.827524,0.707595,13.345900,3.283573,101.289930,Backward
32768,64,4000,41.608702,50.957303,1.362513,0.000000,0.000000,0.000000,Forward
32768,64,4000,19.732549,91.410733,2.627398,14.528740,3.136274,109.115187,Backward
1024,128,4000,0.012635,0.150313,0.006262,43.402949,3.648412,87.575131,Forward
1024,128,4000,0.009856,0.260544,0.011457,55.640636,2.104846,47.865934,Backward
2048,128,4000,0.083423,0.603798,0.017545,26.295130,3.633038,125.028208,Forward
2048,128,4000,0.080545,0.996657,0.043284,27.234687,2.200980,50.679958,Backward
8192,128,4000,1.960945,9.674773,0.263451,-10.739086,-2.176667,-79.934262,Forward
8192,128,4000,1.239413,18.083964,0.695968,28.318202,1.940832,50.430394,Backward
16384,128,4000,8.918865,43.516117,1.285506,-3.148198,-0.645240,-21.842262,Forward
16384,128,4000,4.983086,87.500717,2.785271,28.173656,1.604464,50.405064,Backward
32768,128,4000,43.140184,217.414274,5.173680,0.000000,0.000000,0.000000,Forward
32768,128,4000,21.380814,398.360670,10.956089,26.264995,1.409695,51.256153,Backward
48N,d,cache,Naive,FA,pFA,NaiveFlop,FAFlop,pFAFlop,Pass
1024,64,4000,0.019383,0.045965,0.002156,14.444462,6.090921,129.839168,Forward
1024,64,4000,0.014953,0.073076,0.004051,18.723566,3.831235,69.108129,Backward
2048,64,4000,0.092527,0.181429,0.005533,12.103321,6.172551,202.414683,Forward
2048,64,4000,0.073363,0.281252,0.011214,15.264881,3.981770,99.862736,Backward
8192,64,4000,2.061031,2.888266,0.081791,-5.216245,-3.722247,-131.443138,Forward
8192,64,4000,1.218450,4.537473,0.164979,14.705628,3.948909,108.608493,Backward
16384,64,4000,8.803699,11.574426,0.333448,-1.628231,-1.238459,-42.988596,Forward
16384,64,4000,4.987769,20.129670,0.658017,14.369605,3.560529,108.921569,Backward
32768,64,4000,36.552476,51.034620,1.445412,0.000000,0.000000,0.000000,Forward
32768,64,4000,20.459938,91.891794,2.768383,14.012216,3.119855,103.558304,Backward
1024,128,4000,0.013046,0.149912,0.005119,42.037190,3.658186,107.127543,Forward
1024,128,4000,0.044071,0.254693,0.011879,12.443681,2.153204,46.167090,Backward
2048,128,4000,0.084939,0.598804,0.017905,25.825723,3.663335,122.515111,Forward
2048,128,4000,0.080445,1.017347,0.047740,27.268749,2.156217,45.949048,Backward
8192,128,4000,1.964250,9.566276,0.267022,-10.721017,-2.201354,-78.865179,Forward
8192,128,4000,1.280120,19.254416,0.658701,27.417694,1.822851,53.283530,Backward
16384,128,4000,9.271187,43.465273,1.232572,-3.028560,-0.645995,-22.780291,Forward
16384,128,4000,5.236312,90.241025,2.735198,26.811190,1.555742,51.327825,Backward
32768,128,4000,43.256406,214.646690,5.539007,0.000000,0.000000,0.000000,Forward
32768,128,4000,20.728100,402.551241,11.420488,27.092062,1.395020,49.171889,Backward
48N,d,cache,Naive,FA,pFA,NaiveFlop,FAFlop,pFAFlop,Pass
1024,64,4000,0.016091,0.045632,0.002171,17.398728,6.135437,128.970721,Forward
1024,64,4000,0.014608,0.073900,0.003936,19.166166,3.788490,71.137778,Backward
2048,64,4000,0.101042,0.182465,0.005462,11.083313,6.137485,205.049664,Forward
2048,64,4000,0.073606,0.284335,0.010836,15.214447,3.938592,103.348200,Backward
8192,64,4000,2.412457,2.909448,0.151582,-4.456387,-3.695148,-70.924307,Forward
8192,64,4000,1.219265,4.905479,0.157611,14.695799,3.652664,113.685235,Backward
16384,64,4000,10.064181,11.686027,0.352604,-1.424304,-1.226632,-40.653088,Forward
16384,64,4000,4.989337,20.748135,0.675370,14.365089,3.454396,106.122968,Backward
32768,64,4000,50.738204,51.261207,1.503347,0.000000,0.000000,0.000000,Forward
32768,64,4000,20.855168,92.296243,2.708835,13.746668,3.106184,105.834840,Backward
1024,128,4000,0.012958,0.148650,0.004465,42.320732,3.689236,122.831436,Forward
1024,128,4000,0.009883,0.246200,0.010968,55.491504,2.227479,49.999964,Backward
2048,128,4000,0.083770,0.593599,0.025984,26.186105,3.695461,84.422374,Forward
2048,128,4000,0.080598,1.040719,0.045467,27.216890,2.107794,48.246852,Backward
8192,128,4000,1.915217,9.487969,0.271283,-10.995499,-2.219523,-77.626569,Forward
8192,128,4000,1.275406,18.565779,0.690203,27.519036,1.890464,50.851606,Backward
16384,128,4000,8.869054,44.371711,1.250014,-3.165879,-0.632798,-22.462422,Forward
16384,128,4000,5.000197,90.557707,2.730245,28.077245,1.550301,51.420931,Backward
32768,128,4000,41.034729,215.943182,6.512386,0.000000,0.000000,0.000000,Forward
32768,128,4000,20.171755,393.280083,11.225498,27.839272,1.427906,50.026017,Backward
